Id,Kazakh,Russian,English,Level
3322,тізе,колено,knee,B2
3323,өкше,пятка,heel,B2
3324,шынтақ,локоть,elbow,B2
3325,балтыр,голень,shunk,B2
3326,тырнақ,ноготь,nail,B2
3327,таңдай,нёбо,palate,B2
3328,бас сүйек,череп,skull,B2
3329,жақ сүйек,челюсть,jaw,B2
3330,жұтқыншақ,глотка,pharynx,B2
3331,өт,поджелудочная железа,pancreas,B2
3332,тік ішек,прямая кишка,rectum,B2
3333,құрсақ,матка,uterus,B2
3334,бұлшық еттер,мышцы,muscles,B2
3335,тыныс жолдары,дыхательные пути,breathing passage,B2
3336,қан тамыры АДАМДАР АРАСЫНДАҒЫ ҚАТЫНАС,кровеносный сосуд,"vein, blood vessel",B2
3337,Туыстық,Родственные,Family,B2
3338,қатынас,отношение,relationship,B2
3339,"кісі, адам",человек,man,B2
3340,шеше,мать,mother,B2
3341,әпке (апа),старшая сестра,elder  sister,B2
3342,ата-ана,родители,parents,B2
3343,көке,дядя,uncle,B2
3344,ажырасу,развод,divorce,B2
3345,шөбере,правнук,great-grandchild,B2
3346,тәте,тетя,aunt,B2
3347,қайын іні,младший брат мужа,younger brother-in-law,B2
3348,немере аға/әпке,двоюродный брат/сестра,cousin,B2
3349,БАСПАНА,к жене и наоборот,to wife and vice versa,B2
3350,Үй құрылысы,Устройство дома,Housing,B2
3351,лифт,лифт,lift,B2
3352,үйдің төбесі,потолок,ceiling,B2
3353,шатыр,крыша,roof,B2
3354,мұржа,труба,chimney,B2
3355,су жүйесі,водопровод,watersupply,B2
3356,Бөлмелер,Комнаты,Rooms,B2
3357,әжетхана/ дәретхана,туалет,toilet,B2
3358,кабинет,кабинет,study,B2
3359,кіреберіс,прихожая,hall,B2
3360,құлып,замок,door lock,B2
3361,жарық,свет,light,B2
3362,жылу,отопление,heating,B2
3363,Төсек-орын,Постельные принадлежности,Bedding,B2
3364,матрац,матрац,mattress,B2
3365,жайма,простыня,bedsheet,B2
3366,жастыққап,наволочка,pillowcase/pillow slip,B2
3367,төсек жапқыш,покрывало,bedspread/coverlet,B2
3368,"Ыдыс, сауыттар","Сосуды, емкости","Cans, containers",B2
3369,шабадан,чемодан,suitcase,B2
3370,бөшке,бочка,barrell/tank,B2
3371,себет,корзина,basket,B2
3372,сауыт,сосуд,can,B2
3373,құмыра,кувшин,jug,B2
3374,кір жуатын машина,стиральная машина,washing machine,B2
3375,плита,газовая плита,gas cooker,B2
3376,сыпырғыш,веник,broom,B2
3377,тігін машинасы КИІМ,швейная машина,sewing machine,B2
3378,Сырт киім,Верхняя одежда,Outerwear/ overclothes,B2
3379,бешпент,"бешмет, легкая притален- ная верхняя одежда до колени",easy outer clothing,B2
3380,пәлте,пальто,coat,B2
3381,"плащ, жадағай",плащ,raincoat,B2
3382,күртке,куртка,jacket,B2
3383,костюм,костюм,suit,B2
3384,юбка,юбка,skirt,B2
3385,футболка,футболка,T-shirt,B2
3386,сарафан,сарафан,sarafan/sundress,B2
3387,Іш киім,Нижнее белье,Underwear,B2
3388,халат,халат,gown,B2
3389,пижама,пижама,pyjamas,B2
3390,кроссовки,кроссовки,jogging shoes/trainers,B2
3391,туфли,туфли,shoes,B2
3392,пима,валенки,felt boots,B2
3393,тәпішке,тапочки,slippers,B2
3394,Киім бөліктері мен,Элементы одежды и,Costume and,B2
3395,қосымша тұтыну заттары,аксессуары,accessories,B2
3396,галстук,галстук,tie,B2
3397,қолшатыр,зонтик,umbrella,B2
3398,сырма,молния,zipper,B2
3399,"қадау, тағу ТАМАҚ","втыкать, пришивать",to stick/thrust/plunge,B2
3400,таңертеңгі ас,завтрак,breakfast,B2
3401,дәм,вкус,taste,B2
3402,"ауыз тию, дәм тату, жеп көру",попробовать,taste,B2
3403,Тамақтану,питание,Eating,B2
3404,тамақ жеу,есть,to eat,B2
3405,шай ішу,пить чай,to drink,B2
3406,кесу,резать,to cut,B2
3407,тамақ пісіру,варить пищу,to cook food,B2
3408,"дәмін көру, ішу",пробовать,to taste,B2
3409,таңғы асты ішу,завтракать,to have breakfast,B2
3410,түскі асты ішу,обедать,to have dinner,B2
3411,кешкі асты ішу,ужинать,to have supper,B2
3412,тамақтандыру,кормить,to feed up,B2
3413,тапсырыс беру,заказывать,to order,B2
3414,Тағамдар,Блюда,DishES,B2
3415,тоқбасар,десерт,dessert,B2
3416,котлет,котлетa,chop,B2
3417,бірінші тағам,первое блюдо,first course,B2
3418,екінші тағам,второе блюдо,second course,B2
3419,картоп пюресі,картофельное пюре,mashed potates/puree,B2
3420,"Ұлттық тағамдар,",Национальные,"National meals,",B2
3421,сусындар,"блюда, напитки",drinks,B2
3422,күлше,лепешка,flat cake,B2
3423,шалап,шалап,shalap (sour cream mixed with water),B2
3424,дәмдеуіштер,Приправы,Flavouring,B2
3425,арнайы дәмдеуіштер,специи,spice,B2
3426,сірке суы,уксус,vinegar,B2
3427,кофе,кофе,coffee,B2
3428,минералды су,минеральная вода,mineral water,B2
3429,шоколад,шоколад,chocolate,B2
3430,торт,торт,cake,B2
3431,печенье,печенье,"cookie, biscuit",B2
3432,тәтті тоқаш,булочка,"roll, bun",B2
3433,Тамақ өнімдері,Пищевые продукты,Provision,B2
3434,сары май,сливочное масло,butter,B2
3435,өсімдік майы,растительное масло,oil,B2
3436,жарма,крупа,grits,B2
3437,сұлы жармасы,овсяная крупа,oatmeal,B2
3438,геркулес,геркулес,hercules beetle,B2
3439,Ұн өнімдері,Мучные изделия,Floury,B2
3440,кондитер өнімдері,кондитерские изделия,pastry,B2
3441,Асүй бұйымдары,Кухонные,Dinning room,B2
3442,дастархан,скатерть,tablecloth,B2
3443,асқасық,столовая ложка,table spoon,B2
3444,тәрелке,тарелка,plate,B2
3445,стақан,стакан,glass,B2
3446,табақша,блюдце,saucer,B2
3447,асмәзірі,меню,menu,B2
3448,"кәкпір СЕЗІМ, МІНЕЗ",дуршлаг,colander,B2
3449,"Жағымды, жағымсыз","Положительное,",Positive and,B2
3450,мінез-құлық,отрицательные черты,negative character,B2
3451,бақыт,счастье,happiness,B2
3452,зор қуанышпен,с большой радостью,with а great pleasure,B2
3453,масаттану,восторг,delight,B2
3454,жеңілдеу,облегчение,relief,B2
3455,қызығу,интересоваться,to be interested in,B2
3456,зерігу,скука,boredom,B2
3457,бақытсыздық,горе,grief/sorrow,B2
3458,уайымдау,переживать,to worry,B2
3459,қайғы-қасірет шегу,cтрадать,to suffer,B2
3460,"шыдамды, қатты, әлсіз","терпеливый, строгий, слабый","patient, strict, weak",B2
3461,сенімсіз,ненадежный,unsteady,B2
3462,кекшіл,злопамятный,vindictive,B2
3463,күдіктену,сомневаться,doubt,B2
3464,сабырлы,спокойный,composed,B2
3465,берік,крепкий,strong,B2
3466,бел байлау,решиться,to dare,B2
3467,тілектес болу,быть сочувствующим,to sympathizе,B2
3468,қайран қалу,удивляться,to be surprised,B2
3469,шексіз қадірлеу,уважать,to respect,B2
3470,жек көру,ненавидеть,to hate,B2
3471,жиіркену,брезговать,to strain,B2
3472,қызғану,ревновать,to be jealous,B2
3473,табалау,злорадствовать,to gloat over,B2
3474,әдепсіз,бестактный,tactlessness,B2
3475,талапты,стремительный,aspiration (for),B2
3476,мақтаныш,гордость,pride,B2
3477,шыдамсыз,нетерпеливый,impatient,B2
3478,атаққұмар,тщеславный,vain,B2
3479,тәкаппар,горделивый,over proud,B2
3480,паң,высокомерный,haughty/arrogant,B2
3481,елгезек,шустрый,nimble/sharp,B2
3482,арсыз,бессовестный,unscrupulous,B2
3483,"Ықылас, ниет","Желание, намерение","Desire, intention",B2
3484,дем беру,стимул,stimulus,B2
3485,ықылас,желание,desire,B2
3486,"ынта, жігер АҚЫЛ, ОЙ, ТАНЫМ",рвение,zeal/fervour/ardour,B2
3487,Сана,Сознание,Сonsiousness,B2
3488,әлем,мир,the world,B2
3489,пәлсапа,философия,philosophy,B2
3490,болмыс,"бытие, реальность",objective reality,B2
3491,"дүние, әлем",вселенная,universe,B2
3492,нысан,объект,object,B2
3493,субъект,субъект,subject,B2
3494,пайым,суждение,judgement,B2
3495,ой қорытындысы,умозаключение,deduction,B2
3496,логика,логика,logic,B2
3497,"ұғым, түсінік",понятие,notion/conception,B2
3498,түйсік,чутье,sensation,B2
3499,Ойлау категориясы,Категория мышления,Category of thinking,B2
3500,рет,порядок,order,B2
3501,жүйе,система,system,B2
3502,жағдай,обстоятельство,circumstance,B2
3503,мазмұн,содержание,content/substance,B2
3504,көптүрлілік,многообразие,variety/diversity,B2
3505,бірдейлік,идентичность,identity,B2
3506,қарама-қарсылық,противоположность,contrast,B2
3507,бірізділік,последовательность,succession/sequence,B2
3508,кеңістік,пространство,space,B2
3509,салдар,последствие,consequence,B2
3510,қажеттілік,необходимость,necessity,B2
3511,ықтималдық,вероятность,probability,B2
3512,заңдылық,закономерность,conformity,B2
3513,мәселе,проблема,problem,B2
3514,факт,факт,fact,B2
3515,әдіс,метод,method,B2
3516,құрал-жабдық,оборудование,equipment,B2
3517,"сала, өріс",область,sphere,B2
3518,сипаттама,характеристика,characteristics,B2
3519,бейімдеу,приспособление,adaptation,B2
3520,жақсару,улучшение,improvement,B2
3521,"ойлап табу, өнертабыс",изобретение,invention,B2
3522,түр,вид,kind,B2
3523,тип,тип,type,B2
3524,"талдау, айыру",анализ,analysis,B2
3525,теңеу,сравнение,comparison,B2
3526,өзара байланыс,взаимосвязь,interconnection,B2
3527,өзара әрекет,взаимодействие,interaction,B2
3528,ауытқу,отклонение,deviation/deflection,B2
3529,Хабарлау,Сообщение,Information,B2
3530,хабарлау/баяндама,сообщение/доклад,information/report,B2
3531,"өлшем, белгі",критерий,criterion/criteria,B2
3532,дәлелдеме,доказательство,"argument, evidence",B2
3533,Сын,Критика,Criticism,B2
3534,мақұлдау,одобрение,approve,B2
3535,"растау, қолдау",подтверждение,confirmation,B2
3536,"мойындау, тану",признание,acknowledgement/recognition,B2
3537,асыра бағалау,переоценка,revaluation,B2
3538,бағаламаушылық,недооценка,"underestimate, underestimation",B2
3539,жаңсақтық,недоразумение,misunderstanding,B2
3540,сәтсіздік,неудача,failure,B2
3541,артықшылық,преимушество,advantage/preference,B2
3542,тиімділік,эффективность,effectiveness,B2
3543,маңыздылық,важность,importance,B2
3544,әлбетте БІЛІМ,"непременно, конечно","certainly, of course/obviously",B2
3545,кәсіби техникалық колледж,профессионально- технический колледж,training college,B2
3546,жоғары оқу орны,высшее учебное заведение,university,B2
3547,"ғылыми еңбек, жұмыс",научная работа,scientific work,B2
3548,студент,студент,student,B2
3549,"мұғалім, ұстаз",учитель,teacher,B2
3550,профессор,профессор,professor,B2
3551,директор,директор,head,B2
3552,декан,декан,Dean of the Faculty,B2
3553,ректор,"ректор (университета, института)",rector/chancellor,B2
3554,алгебра,алгебра,algebra,B2
3555,биология,биология,biology,B2
3556,геология,геология,geology,B2
3557,грамматика,грамматика,grammar,B2
3558,математика,математика,mathematics,B2
3559,медицина,медицина,medicine,B2
3560,психология,психология,psychology,B2
3561,физика,физика,physics,B2
3562,филология,филология,philology,B2
3563,шет тілі,иностранный язык,foreign language,B2
3564,философия,философия,philosophy,B2
3565,химия,химия,chemistry,B2
3566,экономика,экономика,economy,B2
3567,жауап,ответ,answer,B2
3568,диктант,диктант,dictation,B2
3569,"сөйлем, фраза",фраза,phrase,B2
3570,сан,число,number,B2
3571,кассета,кассета,cassete,B2
3572,компьютер,компьютер,computer,B2
3573,энциклопедия,энциклопедия,encyclopedia,B2
3574,оқылым,чтение,reading,B2
3575,теория,теория,theory,B2
3576,диссертация,диссертация,thesis/dissertation,B2
3577,экспедиция,экспедиция,expedition,B2
3578,басталуы (дәріс),начало (лекции),beginning of the(lecture),B2
3579,университет бітіру,окончить университет,to graduate from the university,B2
3580,Оқу мекемелері,Учебные заведения,Educational institutuion,B2
3581,бaстауыш мектеп,начальная школа,primary school,B2
3582,орта мектеп,средняя школа,secondary school,B2
3583,курс,курс,course,B2
3584,академия,академия,academy,B2
3585,факультет,факультет,faculty,B2
3586,дәрісхана,аудитория,room/auditorium/lecture hall,B2
3587,Оқу пәндері,Учебные предметы,School subjects,B2
3588,"сурет салу, сызу",рисование/черчение,drawing,B2
3589,парта,парта,desk,B2
3590,қалам,ручка,pen,B2
3591,гуманитарлық ғылымдар,гуманитарные науки,natural sciences,B2
3592,оқу құралдары,учебные пособия,manual,B2
3593,оқу жылы,учебный год,academic year,B2
3594,жаратылыстану ғылымдары,наука естествознаний,natural sciences,B2
3595,студент билеті,студенческий билет,students card,B2
3596,Емтихан/баға,Экзамен/оценка,"Examination, mark/grade",B2
3597,бестік,пятерка,excellent mark,B2
3598,төрттік,четверка,good mark,B2
3599,үштік,тройка,satisfactory mark,B2
3600,екілік,двойка,unsatisfactory mark,B2
3601,"конкурс, байқау",конкурс,competition,B2
3602,кәмелеттік аттестат,аттестат зрелости,school-leavin certificate,B2
3603,диплом,диплом,diploma,B2
3604,сөздік қор,словарный запас,vocabulary,B2
3605,дауысты дыбыс,гласный звук,vowel,B2
3606,транскрипция,транскрипция,transcription,B2
3607,сөз тіркесі,словосочетание,phrase,B2
3608,жазылым,правописание,orthography,B2
3609,айтылым,произношение,pronounciation,B2
3610,идиома,идиома,idiom,B2
3611,сөз таптары,части речи,part of speech,B2
3612,зат есім,существительное,noun,B2
3613,етістік,глагол,verb,B2
3614,сын есім,прилагательное,adjective,B2
3615,есімдік,местоимение,pronoun,B2
3616,үстеу,наречие,adverb,B2
3617,сан есім,числительное,numeral,B2
3618,артикль,артикль,article (part of speech),B2
3619,жекеше,единственное число,singular,B2
3620,көпше,множественное число,plural,B2
3621,сөйлем мүшелері,члены предложения,members of  the sentence,B2
3622,бастауыш,подлежащее,subject,B2
3623,баяндауыш,сказуемое,predicate,B2
3624,толықтауыш,дополнение,object,B2
3625,пысықтауыш,обстоятельство,adverbial modifier,B2
3626,анықтауыш,определение,attribute,B2
3627,шылау,предлог,preposition,B2
3628,жалғаулық,союз,conjunction,B2
3629,одағай,междометие,interjection,B2
3630,демеулік,частица,particle,B2
3631,"негіз, қор",база,basis,B2
3632,"график, сызба",график,"graph, diagram",B2
3633,ескертпе,замечание,note,B2
3634,"топтастыру, жіктеу",классификация,classification,B2
3635,нақтылау,конкретизация,"specification, concretization",B2
3636,бәсеке,конкуренция,competition,B2
3637,тұжырым,концепция,concept,B2
3638,материя,материя,"matter, substance",B2
3639,әдістеме,методика,methodology,B2
3640,механика,механика,mechanics,B2
3641,"дүниетаным, көзқарас",мировоззрение,"world outlook, world view",B2
3642,көрнекілік,наглядность,visual aids,B2
3643,өңдеу,обработка,processing,B2
3644,"обьект, нысан",обьект,object,B2
3645,түсініктеме,объяснение,explanation,B2
3646,"процесс, үдеріс",процесс,process,B2
3647,тепе-теңдік,равновесие,balance,B2
3648,"мән, маңыз",сущность,essence,B2
3649,"даму бағыты, үрдіс",тенденция,tendency,B2
3650,терминология,терминология,terminology,B2
3651,техника,техника,technique,B2
3652,технология,технология,technology,B2
3653,"кезең, саты","период, фаза",phase,B2
3654,сараптама,экспертиза,"assessment, expertise",B2
3655,"цикл, топтама МӘДЕНИЕТ",цикл,cycle,B2
3656,картина,картина,picture,B2
3657,портрет,портрет,portrait,B2
3658,фотография,фотография,photography/picture,B2
3659,мұражай,музей,museum,B2
3660,альбом,альбом,album,B2
3661,фотоаппарат,фотоаппарат,camera,B2
3662,түрлі-түсті,цветной,coloured,B2
3663,бейнелеу өнерінің шығармасы,произведение (живописи),paintings/masterpiece,B2
3664,Өнер,Искусство,Art,B2
3665,автор,автор,author,B2
3666,өнер туындысы,произведение искусства,masterpiece,B2
3667,заманауи,современный,modern,B2
3668,ескі,старинный,antique,B2
3669,ғимарат,здание,building,B2
3670,кесене,мавзолей,mausoleum,B2
3671,мешіт,мечеть,mosque,B2
3672,мұнара,башня,tower,B2
3673,сәулет ансамблі,ансамбль (архитектурный),architectural ensemble,B2
3674,сәулет ескерткіші,памятник (архитектуры),monument,B2
3675,мультфильм,мультфильм,cartoon,B2
3676,касса,касса,booking- office,B2
3677,билет,билет,ticket,B2
3678,сеанс,сеанс,session,B2
3679,режиссер,режиссер,director,B2
3680,фильм,фильм,film/movie,B2
3681,кинотеатр,кинотеатр,cinema,B2
3682,кинозал,кинозал,cinema/showing room,B2
3683,көркем фильм,художественный фильм,film,B2
3684,детектив,детектив,detective,B2
3685,комедия,комедия,comedy,B2
3686,деректі фильм,документальный фильм,documentary (film),B2
3687,оператор,оператор,operator,B2
3688,киножұлдызы,кинозвезда,star/celebrity,B2
3689,декоратор,декоратор,decorator,B2
3690,бейнетаспа,видеокассета,videocassete,B2
3691,фестиваль,фестиваль,festival,B2
3692,қорқынышты фильм,фильм ужасов,horror film,B2
3693,фильмнің кейіпкері,герой фильма,hero,B2
3694,басты роль,главная (роль),main part,B2
3695,классикалық,классический,classical,B2
3696,музыкалық,музыкальный,musical,B2
3697,шытырман сюжетті фильм,остросюжетный фильм,thriller,B2
3698,қуыршақ театры,кукольный театр,puppet show,B2
3699,балет әртісі,артист балета,ballet-dancer,B2
3700,драма,драма,drama,B2
3701,балет,балет,ballet,B2
3702,опера,опера,opera,B2
3703,пьеса,пьеса,play,B2
3704,репертуар,репертуар,repertoire/repertory,B2
3705,труппа,труппа,troupe/company,B2
3706,гастроль,гастроль,tour,B2
3707,декорация,декорация,set/scenery,B2
3708,қойылым,спектакль,performance,B2
3709,премьера,премьера,first,B2
3710,көрермендер залы,зрительный зал,"hall, auditorium",B2
3711,гардероб,гардероб,cloakroom,B2
3712,фойе,фойе,rush-room,B2
3713,трагедия,трагедия,tragedy,B2
3714,музыкалы комедия,музыкальная комедия,musical comedy,B2
3715,сатира,сатира,satire,B2
3716,рөл,роль,role,B2
3717,амфитеатр,амфитеатр,amphitheater,B2
3718,Музыка,Музыка,Music,B2
3719,оркестр,оркестр,orchestra,B2
3720,дирижер,дирижер,conductor,B2
3721,ән,песня,song,B2
3722,концерт,концерт,concert,B2
3723,хор,хор,chorus,B2
3724,аспаптар,инструмент,instrument,B2
3725,сыбызғы,дудка,pitch pipe,B2
3726,жетіген,жетиген,zhetigen (kazakh stringed folk instrument),B2
3727,дабыл,барабан,drum,B2
3728,симфония,симфония,symphony,B2
3729,халық әуені,народная мелодия,folk melody,B2
3730,кітапхана,библиотека,library,B2
3731,кітап дүкені,книжный магазин,bookshop,B2
3732,том,том,volume,B2
3733,драматург,драматург,playwright,B2
3734,роман,роман,novel,B2
3735,редактор,редактор,editor,B2
3736,баспахана,типография,printinghouse,B2
3737,кітаптың мұқабасы,обложка книги,cover of book,B2
3738,көркем әдебиет СПОРТ,художественная литература,fiction,B2
3739,жүзу,плавание,swimming,B2
3740,коньки,коньки,skates,B2
3741,шаңғы спорты,лыжный спорт,skiing,B2
3742,ауыр атлетика,тяжелая атлетика,weight-lifting,B2
3743,бокс,бокс,boxing,B2
3744,күрес,борьба,wrestling,B2
3745,футбол,футбол,football,B2
3746,волейбол,волейбол,volleyball,B2
3747,хоккей,хоккей,hockey,B2
3748,баскетбол,баскетбол,basketball,B2
3749,хоккейші,хоккеист,hockey player,B2
3750,шахматшы,шахматист,chess player,B2
3751,гимнастшы,гимнастика,gymnastics,B2
3752,теннис,теннис,tennis,B2
3753,шахмат,шахматы,chess,B2
3754,чемпион,чемпион,champion,B2
3755,велосипед,велосипед,bicycle,B2
3756,бассейн,бассейн,swimming pool,B2
3757,спорт клубы,спортивный клуб,sport club,B2
3758,матч,матч,match,B2
3759,жарыс,соревнованиe,competition,B2
3760,жеңіл атлетика,легкая атлетика,field athletics,B2
3761,финал,финал,final,B2
3762,біріншілік,чемпионат,championship,B2
3763,әлем чемпионаты,чемпионат мира,world championship,B2
3764,олимпиадалық ойындар,олимпийские игры,olympic games,B2
3765,"медаль (алтын,күміс, қола)","медаль (золотая, серебряная, бронзовая)","medal (gold, silver, bronze)",B2
3766,тең түсу,ничья,drawn game,B2
3767,рекорд,рекорд,record,B2
3768,ұлттық құрама,национальная сборная,national team,B2
3769,спортшы,спортсмен,sportsman,B2
3770,сайыс,состязание,fencing,B2
3771,мәнерлеп сырғанау,фигурное катание,figure skating,B2
3772,"САЯХАТ, туризм","Путешествия, туризм","Travelling, tourism",B2
3773,турист,турист,tourist,B2
3774,автокөлік,автомобиль,automobile,B2
3775,тас жол,шоссе,highway/road,B2
3776,жол,дорога,road,B2
3777,теміржол,железная дорога,railway,B2
3778,станция,станция,station,B2
3779,бару және қайту билеті,билет туда и обратно,"return, round ticket",B2
3780,экскурсия,экскурсия,excursion,B2
3781,қаланың жоспары,план города,city map,B2
3782,виза,виза,visa,B2
3783,саяхаттау,путешествие,travelling,B2
3784,саяхатшы,путешественник,traveller,B2
3785,қыдыру,гулять,shirk,B2
3786,кедендік тексерістен өту ЖҰМЫС,пройти таможенный контроль,to pass customs control,B2
3787,"Еңбек, қызмет",отрасль труда,Employment,B2
3788,міндет,обязанность,duty,B2
3789,жұмыссыз,безработный,unemployed,B2
3790,еңбек өтілі,стаж работы,record of service,B2
3791,спорт,спорт,sport,B2
3792,мәдениет,культура,culture,B2
3793,саясат,политика,politics,B2
3794,дәрігерлік қызмет,медицинское обслуживание,health service,B2
3795,электростанция,электростанция,power station,B2
3796,сала,отрасль,field/sector,B2
3797,өнеркәсіп,промышленность,industry,B2
3798,ауыл шаруашылығы,сельское хозяйство,agriculture,B2
3799,компания,компания,company,B2
3800,филиал,филиал,branch (office),B2
3801,фирма,фирма,firm,B2
3802,мұнай ажырататын зауыт,нефтеобрабатывающий завод,oil refinery,B2
3803,көмір шахтасы,угольная шахта,coal mine,B2
3804,машина жасау зауыты,машиностроительный завод,machine building plant,B2
3805,механик,механик,mechanic,B2
3806,инженер,инженер,engineer,B2
3807,елші,посол,ambassador,B2
3808,музыкант,музыкант,musician,B2
3809,балықшы,рыбак,fisherman,B2
3810,ұшқыш,летчик,pilot,B2
3811,мейірбике,медсестра,nurse,B2
3812,хирург,хирург,surgeon,B2
3813,инженер-электрші,инженер электрик,"engineer, electrician",B2
3814,темір ұстасы,слесарь,locksmith,B2
3815,электр маманы,электрик,electrician,B2
3816,кәсібі,профессия,occupation,B2
3817,журналист,журналист,journalist,B2
3818,тарихшы,историк,historian,B2
3819,"Құралдар,","Инструменты,","Instruments,",B2
3820,жабдықтар,оборудование,equipment,B2
3821,құрал-сайман,инструмент,instrument,B2
3822,балға,молоток,hammer,B2
3823,балта,топор,axe,B2
3824,орақ,серп,sickle,B2
3825,шеге,гвоздь,nail,B2
3826,егеу,напильник,file,B2
3827,сүргі,рубанок,plane,B2
3828,тескіш,сверло,drill,B2
3829,бұрағыш,отвертка,screwdriver,B2
3830,домкрат,домкрат,jack,B2
3831,болт,болт,bolt,B2
3832,сым,проволока,wire,B2
3833,серіппе,пружина,spring,B2
3834,станок,станок,machine tools,B2
3835,кескіш аспап,резец,cutter,B2
3836,"қайрақ, шарық",точило,grindstone,B2
3837,қайрақ тас,точильный камень,whetstone,B2
3838,"бұрғы БАЙЛАНЫС, КӨЛІК",дрель,drill-brace,B2
3839,"Пошта, телефон","Почта, телефон","Post-office, telephone",B2
3840,мекенжай,адрес,address,B2
3841,пошта бөлімі,почтовое отделение,post office,B2
3842,индекс,индекс,index,B2
3843,интернет,интернет,internet,B2
3844,хат тасушы,почтальон,postman,B2
3845,абонент,абонент,telephone subscriber,B2
3846,каталог,каталог,catalogue,B2
3847,марка,марка,stamp,B2
3848,хат қалта,конверт,envelope,B2
3849,бандероль,бандероль,parcel,B2
3850,аударма,перевод,postal (money) order,B2
3851,жеделхат,телеграмма,telegram,B2
3852,сәлемдеме,посылка,package/parcel,B2
3853,бөлімше,отделение,post office,B2
3854,телеграф,телеграф,telegraph,B2
3855,телефон анықтамасы,телефонный справочник,yellow pages,B2
3856,ашықхат,открытка,postcard,B2
3857,код,код,code,B2
3858,факс,факс,fax,B2
3859,пошта жәшігі,почтовый ящик,letter box,B2
3860,алушы,получатель,addressee/receipent,B2
3861,жіберуші,отправитель,sender,B2
3862,халықаралық сөйлесу,международный разговор,international call,B2
3863,жөнелтім,отправление,departure,B2
3864,платформа,платформа,platform,B2
3865,пойыз,поезд,train,B2
3866,электровоз,электровоз,electric locomotive,B2
3867,вагон,вагон,wagon,B2
3868,жүк тасушы,носильщик,carrier/baggage-man,B2
3869,теміржол станциясы,"железнодорожная станция, вокзал",railway station,B2
3870,жолаушы пойызы,пассажирский поезд,passenger train,B2
3871,жүрдек пойыз,скорый поезд,fast train,B2
3872,қала сырты пойызы,пригородный поезд,commuter train,B2
3873,теміржол билеті,железнодорожный билет,commutation/ railway ticket,B2
3874,ресторан-вагон,вагон ресторан,dining wagon,B2
3875,жоғарғы/төменгі сөре,"верхняя, нижняя полка","upper, lower berth",B2
3876,кетуі,отправление,departure,B2
3877,келуі,прибытие,arrival,B2
3878,ауысым,пересадка,transfer to another line,B2
3879,әуежай,аэропорт,airport,B2
3880,рейс,рейс,flight,B2
3881,экипаж,экипаж,crew,B2
3882,аспансерік,борт-радист,airborne radio operator/flight radio operator,B2
3883,ұшақтың бөлшектері,детали самолета,plane spare parts,B2
3884,ұшақ қанаты,крыло,wing,B2
3885,ұшақ құйрығы,хвост,plane’s tail,B2
3886,ұшақтың дөңгелегі,шасси,chassis,B2
3887,пилоттар кабинасы,кабина пилота,"cabin, cockpit",B2
3888,ұшақты қондыру,посадка самолета,landing,B2
3889,көпір,мост,bridge,B2
3890,жүк таситын машина,грузовик,"truck, lorry",B2
3891,жол қиылысы,перекресток дорог,cross-roads/carfax,B2
3892,жол қозғалысы,дорожное движение,traffic,B2
3893,жол белгісі,дорожный знак,road sign,B2
3894,жүргіншілер өтетін жер,переход пешеходный,pedestrian,B2
3895,әйнек тазалағыш,стеклоочистители,windscreen  wiper,B2
3896,жүк салғыш,багажник,boot,B2
3897,қозғалтқыш,двигатель,еngine/motor,B2
3898,радиатор,радиатор,radiator,B2
3899,аккумулятор,аккумулятор,accumulator,B2
3900,қосалқы дөңгелек,запасное колесо,spare wheel,B2
3901,автоқызмет,автосервис,autoservice center,B2
3902,май құю станциясы,заправочная станция,fuel station,B2
3903,автожуу,автомойка,car wash,B2
3904,тежеу,торможение,braking,B2
3905,жылдамдату,ускорение,"acceleration, speed-up",B2
3906,басып озу,обгон,overtaking,B2
3907,қосалқы бөлшек,запасная часть,spare part,B2
3908,оталдыру,зажигание,firing,B2
3909,пайдаланылған газды шығаратын труба ҚАЛА,выхлопная труба,exhaust pipe/exhaustube,B2
3910,"Көше, алаңдар","Улицы, площади","Streets, squares",B2
3911,тротуар,тротуар/асфальт,sidewalk/asphalt,B2
3912,үлкен қала,большой город,city,B2
3913,шағын қала,маленький город,town,B2
3914,такси,такси,taxi,B2
3915,жүру билеті,проездной билет,season ticket,B2
3916,Әлеуметтік-мәдени,Социально-,Socio-cultural,B2
3917,және тұрмыстық,культурные и бытовые,and consumer,B2
3918,мекемелер,учреждения,service centers,B2
3919,цирк,цирк,circus,B2
3920,клуб,клуб,club,B2
3921,кассир,кассир,cashier,B2
3922,супермаркет,супермаркет,supermarket,B2
3923,базар,рынок,market,B2
3924,сұраныс,спрос,demand,B2
3925,тұрмыстық қызмет көрсету орталығы,центр бытовых услуг,service center,B2
3926,киім тазалау,химчистка,dry-cleaning,B2
3927,Тұрғылықты жері мен,Место проживания,Residencе and place,B2
3928,ықшам аудан,микрорайон,microdistrict,B2
3929,корпус,корпус,building,B2
3930,вокзал,вокзал,railroad station,B2
3931,полиция,полиция,police,B2
3932,банк,банк,bank,B2
3933,сарай,дворец,palace,B2
3934,галерея,галерея,gallery,B2
3935,консерватория,консерватория,conservatory,B2
3936,хайуанаттар бағы,зоопарк,zoo,B2
3937,стадион,стадион,stadium,B2
3938,жатақхана,общежитие,hostel,B2
